Querschnitt,Bemessungsstrom,erforderlicher Kurzschlussstrom,Ausschaltzeit,10,50,100,200,300,400,500,600,700
1.5,6,30,0.1,251,250,248,245,242,239,236,233,230
1.5,10,50,0.1,150,149,147,144,141,138,135,132,129
1.5,16,80,0.1,93,92,90,87,84,81,78,75,72
1.5,20,100,0.1,74,73,71,68,65,62,59,56,52
2.5,10,50,0.1,246,244,241,236,231,226,221,216,210
2.5,16,80,0.1,153,151,148,143,138,133,128,123,117
2.5,20,100,0.1,122,120,117,112,107,102,97,92,86
2.5,25,125,0.1,97,95,93,88,83,77,72,67,61
4,16,80,0.1,246,243,239,231,223,214,206,198,189
4,20,100,0.1,197,194,189,181,173,165,156,148,139
4,25,125,0.1,157,154,150,142,133,125,116,108,99
4,32,160,0.1,122,119,115,107,98,90,81,72,64
4,40,200,0.1,97,94,90,82,73,65,56,47,38
6,20,100,0.1,295,290,284,272,259,247,234,221,209
6,25,125,0.1,235,231,225,212,200,187,174,161,148
6,32,160,0.1,183,179,173,160,148,135,122,109,95
6,40,200,0.1,146,141,135,123,110,97,84,71,57
6,50,250,0.1,117,112,106,93,80,67,54,40,26
10,25,125,0.1,397,388,378,357,336,315,293,271,249
10,32,160,0.1,309,301,291,270,249,227,205,183,160
10,40,200,0.1,247,239,228,207,186,164,142,119,96
10,63,315,0.1,197,189,178,157,135,113,90,67,43
10,80,400,0.1,156,147,137,116,94,71,48,23,0
10,50,250,0.1,122,114,103,82,59,36,12,0,0
16,32,160,0.1,492,479,462,429,395,360,325,290,254
16,40,200,0.1,393,380,363,329,295,260,225,189,152
16,50,250,0.1,313,300,284,250,215,180,143,106,69
16,63,315,0.1,248,235,218,184,149,113,75,37,0
16,80,400,0.1,194,181,164,130,94,57,19,0,0
