Querschnitt,Bemessungsstrom,erforderlicher Kurzschlussstrom,Ausschaltzeit,10,50,100,200,300,400,500,600,700
1.5,6,60,1,125,123,122,119,116,113,110,106,3
1.5,10,100,1,74,73,71,68,65,62,59,56,52
1.5,16,160,1,45,44,43,40,36,33,30,27,23
1.5,20,200,1,36,34,33,30,27,24,20,17,14
2.5,10,100,1,122,120,117,112,107,102,97,92,86
2.5,16,160,1,75,73,71,66,61,55,50,45,39
2.5,20,200,1,60,58,55,50,45,40,34,29,23
2.5,25,250,1,47,45,43,38,33,27,22,16,10
4,16,160,1,122,119,115,107,98,90,81,72,38
4,20,200,1,97,94,90,82,73,65,56,47,17
4,25,250,1,77,74,70,62,53,45,36,26,0
4,32,320,1,60,57,53,44,36,27,17,8,0
4,40,400,1,47,44,40,32,23,14,4,0,0
6,20,200,1,146,141,135,123,110,97,84,71,57
6,25,250,1,117,112,106,93,80,57,54,40,26
6,32,320,1,91,86,79,67,54,40,27,12,0
6,40,400,1,72,67,61,48,35,21,7,0,0
6,50,500,1,57,52,46,33,19,5,0,0,43
10,25,250,1,197,189,178,157,135,113,90,67,249
10,32,320,1,153,145,134,113,91,68,45,21,160
10,40,400,1,122,114,103,82,59,9,12,0,0
10,50,500,1,97,89,78,56,33,9,0,0,0
10,63,630,1,76,68,40,35,11,0,0,0,0
10,80,800,1,59,51,214,17,0,0,0,0,0
16,32,320,1,244,231,164,180,145,108,71,33,0
16,40,400,1,194,181,164,130,94,57,19,0,0
16,50,500,1,155,141,124,89,53,15,0,0,0
16,63,630,1,122,108,91,56,18,0,0,0,0
