Querschnitt,Bemessungsstrom,erforderlicher Kurzschlussstrom,Ausschaltzeit,10,50,100,200,300,400,500,600,700
1.5,6,27,5,270,269,267,264,262,259,256,253,250
1.5,10,47,5,145,144,142,140,137,134,131,128,126
1.5,16,65,5,96,95,93,91,88,86,83,80,78
1.5,20,94,3.3,61,60,59,57,54,52,49,47,44
2.5,10,47,5,252,250,248,243,238,233,229,224,219
2.5,16,65,5,176,175,172,168,163,158,153,148,143
2.5,20,87,5,125,123,121,116,112,107,103,98,93
2.5,25,110,5,92,90,88,84,79,75,71,66,62
4,16,65,5,296,293,289,281,273,265,257,249,240
4,20,87,5,216,213,209,201,194,186,178,170,161
4,25,110,5,166,163,159,152,144,136,128,120,112
4,35,160,5,104,102,98,91,84,77,69,62,54
4,40,190,5,82,80,76,70,63,56,49,42,35
6,20,87,5,332,328,322,310,298,285,273,261,248
6,25,110,5,259,255,249,237,225,213,200,188,175
6,35,160,5,171,167,161,149,138,126,114,101,89
6,40,190,5,140,135,130,119,107,95,84,71,59
6,50,265,5,91,87,82,71,61,50,339,27,15
6,63,320,4.6,70,66,61,52,42,31,20,9,0
10,25,110,5,446,438,428,407,386,365,344,323,301
10,35,160,5,302,294,284,263,242,221,200,178,156
10,40,190,5,251,243,233,213,192,171,150,128,106
10,50,265,5,173,166,156,136,116,95,74,52,29
16,35,160,5,487,4 4,458,425,391,357,322,287,252
16,40,190,5,408,3 S,379,345,312,277,243,207,171
16,50,265,5,288,275,259,225,192,157,122,85,48
16,63,320,5,235,222,206,173,139,104,69,32,0
16,80,445,5,162,149,134,101,68,33,0,0,0

