Querschnitt, A1 2, A1 3, A2 2, A2 3, B1 2, B1 3, B2 2, B2 3, C 2, C 3, E 2, E 3
1.5, 15.5, 13.5, 15.5, 13, 17.5, 15.5, 16.5, 15, 19.5, 17.5, 22, 18.5
2.5, 19.5, 18, 18.5, 17.5, 24, 21, 23, 20, 27, 24, 30, 25
4, 26, 24, 25, 23, 32, 28, 30, 27, 36, 32, 40, 34
6, 34, 31, 32, 29, 41, 36, 38, 34, 46, 41, 51, 43
10, 46, 42, 43, 39, 57, 50, 52, 46, 63, 57, 70, 60
16, 61, 56, 57, 52, 76, 68, 69, 62, 85, 76, 94, 80
25, 80, 73, 75, 68, 101, 89, 90, 80, 112, 96, 119, 101
35, 99, 89, 92, 83, 125, 110, 111, 99, 138, 119, 148, 126
50, 119, 108, 110, 99, 151, 134, 133, 118, 168, 144, 180, 153
70, 151, 136, 139, 125, 192, 171, 168, 149, 213, 184, 232, 196
95, 182, 164, 167, 150, 232, 207, 201, 179, 258, 223, 282, 238
120, 210, 188, 192, 172, 269, 239, 232, 206, 299, 259, 328, 276
150, 240, 216, 219, 196, 0, 0, 0, 0, 344, 299, 379, 319
185, 273, 245, 248, 223, 0, 0, 0, 0, 392, 341, 434, 364
240, 320, 286, 291, 261, 0, 0, 0, 0, 461, 403, 514, 430
300, 367, 328, 334, 298, 0, 0, 0, 0, 530, 464, 593, 497
